snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
600.0,3,0.125,0.7,0.0875,0.13402614956069156,0.7075235979159644,0.09482666355200364
600.0,3,0.15,0.7,0.105,0.15919602364633176,0.7003859172779359,0.11149865304853604
600.0,3,0.175,0.7,0.1224999999999999,0.18259850032924596,0.7028534491199425,0.12833998576053948
600.0,3,0.2,0.7,0.1399999999999999,0.19999999999984336,0.7054373849917838,0.14108747699824625
600.0,3,0.175,0.8,0.1399999999999999,0.18741415912750803,0.7989785350779761,0.14973989031256707
600.0,3,0.2,0.8,0.16,0.1999999999999985,0.8058300630702284,0.16116601261404448
600.0,4,0.0,0.0,0.0,0.1740176113034936,0.027960511535183866,0.004865621428176476
600.0,4,0.025,0.1,0.0025,0.01770382721093376,0.12500935331252674,0.002213143990795543
600.0,4,0.025,0.2,0.005,0.01814583123994415,0.23352290173184434,0.004237467165488108
600.0,4,0.05,0.2,0.01,0.04238618835675863,0.23088150648222452,0.009786187021847756
600.0,4,0.025,0.3,0.0075,0.018837358519004716,0.29684565738811225,0.005591788073029512
600.0,4,0.05,0.3,0.015,0.08184619664900017,0.2531233296099198,0.02071718181170318
600.0,4,0.075,0.3,0.0225,0.0895398016686031,0.2895752403916701,0.025928509592808208
600.0,4,0.1,0.3,0.03,0.1506641474727027,0.2694336893073571,0.04059399709991802
600.0,4,0.025,0.4,0.01,0.023288258225951073,0.41610606762222047,0.009690385552171329
600.0,4,0.05,0.4,0.02,0.04849353789428166,0.4038008280466923,0.019581730756624584
600.0,4,0.075,0.4,0.03,0.07914509017894973,0.393747229866233,0.03116316001547466
600.0,4,0.1,0.4,0.04,0.11304230149561256,0.39822904341691645,0.04501672759024446
600.0,4,0.025,0.5,0.0125,0.02473831918919611,0.501045800500745,0.012395030941193704
600.0,4,0.05,0.5,0.025,0.051611191971389775,0.5011159617837864,0.02586319210355062
600.0,4,0.075,0.5,0.0375,0.07888025482959601,0.49320091798065974,0.03890381409250512
600.0,4,0.1,0.5,0.05,0.1076682870902908,0.49912400726219885,0.05373982690756282
600.0,4,0.125,0.5,0.0625,0.13949030434640775,0.49287634559993443,0.0687514714528801
600.0,4,0.15,0.5,0.075,0.16543149726419254,0.5079944839068852,0.08403828807466678
600.0,4,0.175,0.5,0.0875,0.18827081921283087,0.5006737461024131,0.0942622563370582
600.0,4,0.2,0.5,0.1,0.19999999999999835,0.5085713604781389,0.10171427209562693
600.0,4,0.025,0.6,0.015,0.02470239062000823,0.597801650136809,0.014767129874964952
600.0,4,0.05,0.6,0.03,0.05261284930700671,0.5869133764434934,0.030879185031088018
600.0,4,0.075,0.6,0.045,0.07564570798983436,0.6011970002645112,0.045477972726373585
600.0,4,0.1,0.6,0.06,0.10212061707320678,0.610284087837151,0.062322587639888995
600.0,4,0.125,0.6,0.075,0.12812306054509495,0.604730217604465,0.07747988628358532
600.0,4,0.15,0.6,0.09,0.16819666698198654,0.5940860460950557,0.09992329285369518
600.0,4,0.175,0.6,0.105,0.19562356145933374,0.6033350872890858,0.11802655852886897
600.0,4,0.2,0.6,0.12,0.1999999999999881,0.6103868134211099,0.12207736268421472
600.0,4,0.025,0.7,0.0174999999999999,0.025041673263052417,0.6994849616682951,0.01751627386251619
600.0,4,0.05,0.7,0.0349999999999999,0.05042174650776443,0.6969601588535088,0.035141948455722855
600.0,4,0.075,0.7,0.0525,0.07894803851761993,0.7048299818336253,0.05564494455417441
600.0,4,0.1,0.7,0.0699999999999999,0.10711120415497599,0.7063908451787588,0.07566237403114807
600.0,4,0.125,0.7,0.0875,0.13501032757978848,0.6979578683101523,0.09423152043744452
600.0,4,0.15,0.7,0.105,0.16174509553101826,0.6961145693159569,0.1125931175145431
600.0,4,0.175,0.7,0.1224999999999999,0.18263095480690564,0.7070200027210953,0.12912373816453465
600.0,4,0.2,0.7,0.1399999999999999,0.1999999999999999,0.7061269859035858,0.14122539718071708
600.0,4,0.175,0.8,0.1399999999999999,0.1802466701216767,0.8007024466446127,0.14432394976597093
600.0,4,0.2,0.8,0.16,0.19999999999999998,0.8099213711269678,0.16198427422539355
600.0,5,0.0,0.0,0.0,0.0010000955929426413,0.00100326194675362,1.0033578515153502e-06
600.0,5,0.025,0.1,0.0025,0.019475888692993232,0.14925193043745372,0.0029068139844142175
600.0,5,0.025,0.2,0.005,0.0115883286031206,0.2291705059813432,0.00265570312945522
600.0,5,0.05,0.2,0.01,0.05246934401647635,0.18209774620663027,0.009554549290340685
600.0,5,0.025,0.3,0.0075,0.024345566409425173,0.3392876615167639,0.008260150295354946
600.0,5,0.05,0.3,0.015,0.04408257116549173,0.2930545635131074,0.012918598651438674
600.0,5,0.075,0.3,0.0225,0.09162055190147575,0.26507141458971667,0.024285989298014732
600.0,5,0.1,0.3,0.03,0.12608811446722748,0.27585955022892295,0.034782610546142324
600.0,5,0.025,0.4,0.01,0.02603529886685391,0.41288529923748923,0.010749592163378442
600.0,5,0.05,0.4,0.02,0.0496234045744713,0.4109623768415837,0.020393352290896245
600.0,5,0.075,0.4,0.03,0.08709815369735494,0.40119318749991445,0.03494318590719928
600.0,5,0.1,0.4,0.04,0.13276643677792388,0.3699187469080324,0.049112793924334104
600.0,5,0.025,0.5,0.0125,0.02519228460574157,0.5328054642875241,0.013422586895825582
600.0,5,0.05,0.5,0.025,0.04817382496181264,0.5050936285344043,0.024332292050343207
600.0,5,0.075,0.5,0.0375,0.08131091773789213,0.49268240315005685,0.04006045835344128
600.0,5,0.1,0.5,0.05,0.11339546122934047,0.4920481514534721,0.05579602708111084
600.0,5,0.125,0.5,0.0625,0.13773174795275456,0.5025893625089772,0.06922251140082204
600.0,5,0.15,0.5,0.075,0.1576769832364451,0.5085175969300018,0.08018152060656923
600.0,5,0.175,0.5,0.0875,0.1889935008322721,0.5172464729554916,0.09775622171700352
600.0,5,0.2,0.5,0.1,0.19999999999999998,0.5118384897728723,0.10236769795457444
600.0,5,0.025,0.6,0.015,0.02404882302197479,0.5994714037993182,0.01441658169670459
600.0,5,0.05,0.6,0.03,0.04909260906002526,0.6003987081442129,0.029475139059068046
600.0,5,0.075,0.6,0.045,0.07752276683343344,0.596843025757625,0.04626892272196927
600.0,5,0.1,0.6,0.06,0.11147146086016739,0.5889233946055188,0.065648151131406
600.0,5,0.125,0.6,0.075,0.1401566209355984,0.5891277983988834,0.08257016152281595
600.0,5,0.15,0.6,0.09,0.16371052451647156,0.5954103390130521,0.0974749389023569
600.0,5,0.175,0.6,0.105,0.1853740514416741,0.6103678086262871,0.11314635355463125
600.0,5,0.2,0.6,0.12,0.19999999999999654,0.6144827393484312,0.12289654786968413
600.0,5,0.025,0.7,0.0174999999999999,0.0257922664162507,0.7032645732954433,0.01813878723554694
600.0,5,0.05,0.7,0.0349999999999999,0.04984073595593296,0.7069273157663782,0.0352337776851485
600.0,5,0.075,0.7,0.0525,0.07463020947289159,0.6966208201015365,0.05198895772735519
600.0,5,0.1,0.7,0.0699999999999999,0.10533803278265495,0.6980898348991158,0.07353540991384125
600.0,5,0.125,0.7,0.0875,0.12975757192947093,0.7026677054195034,0.0911764553284875
600.0,5,0.15,0.7,0.105,0.1575159927209039,0.6927467195032551,0.10911868722670479
600.0,5,0.175,0.7,0.1224999999999999,0.18595703644188463,0.7064842907677629,0.1313757250039199
600.0,5,0.2,0.7,0.1399999999999999,0.19999999999999998,0.7117392103232496,0.1423478420646499
